Name,国旗,代码,主要语言,特殊制度,风险等级,完整度,审核状态,更新时间,页面链接,DNA码,AI法规成熟度,区域,官方语言,常用语言,数据主权敏感度,数据制度,文化类型,监管复杂度,监管类型,负责人,CNSH结构化,通心译状态
🇦🇪 阿联酋,🇦🇪,AE,阿拉伯语+英语,"伊斯兰教法, 内容审查",🔴 高风险,✅ 完整,✅ 已审核,2025年12月10日,https://www.notion.so/fa8ef4a98cab455fba68f2414fa9a0dc,#ZHUGEXIN⚡️2025-🇦🇪🕌⚖️-UAE-LAW-LANG-CULTURE-V2.0,,,,,,,,,,,,
🇨🇳 中国,🇨🇳,CN,简体中文（普通话）,"内容审查, 算法备案, 跨境限制",🔴 高风险,✅ 完整,✅ 已审核,2025年12月10日,https://www.notion.so/5013f824947a48cf964c8cb3f38b8dc1,#ZHUGEXIN⚡️2025-🇨🇳🐉⚖️-CN-LAW-LANG-CULTURE-V2.0,,,,,,,,,,,,
🇪🇺 欧盟（27国）,🇪🇺,EU,24种官方语言（英/法/德为主）,"AI法案, GDPR",🔴 高风险,✅ 完整,✅ 已审核,2025年12月10日,https://www.notion.so/4faa092e955b43deb052a6d17307305f,#ZHUGEXIN⚡️2025-🇪🇺⭐⚖️-EU-LAW-LANG-CULTURE-V2.0,,,,,,,,,,,,
🇺🇸 美国,🇺🇸,US,英语（美式）,"CCPA, COPPA, HIPAA, Section230",🟡 中风险,✅ 完整,✅ 已审核,2025年12月10日,https://www.notion.so/61645cb988b44335b1903c12524270dc,#ZHUGEXIN⚡️2025-🇺🇸🦅⚖️-US-LAW-LANG-CULTURE-V2.0,,,,,,,,,,,,
🇨🇳 中国,🇨🇳,CN,中文,"内容审查, 算法备案, 跨境限制",🔴 高风险,🔄 进行中,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-CN-v1.0,成熟,亚洲,中文,"中文, 英语",高,国密系,"儒家文化, 集体主义",⭐⭐⭐⭐⭐,审查制,,⏸️待处理,⏸️待处理
🇪🇺 欧盟,🇪🇺,EU,多语言,"AI法案, GDPR",🔴 高风险,🔄 进行中,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-EU-v1.0,成熟,欧洲,"希腊语, 德语, 意大利语, 法语, 英语, 荷兰语, 葡萄牙语, 西班牙语","德语, 法语, 英语, 西班牙语",高,GDPR系,"个人主义, 基督教文化, 多元文化",⭐⭐⭐⭐⭐,混合制,,⏸️待处理,⏸️待处理
🇺🇸 美国,🇺🇸,US,英语,"CCPA, COPPA, HIPAA, Section230",🔴 高风险,🔄 进行中,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-US-v1.0,部分,北美,英语,"英语, 西班牙语",高,美式系,"个人主义, 多元文化",⭐⭐⭐⭐⭐,混合制,,⏸️待处理,⏸️待处理
🇸🇦 沙特阿拉伯,🇸🇦,SA,阿拉伯语,"伊斯兰教法, 内容审查, 跨境限制",🔴 高风险,⏸️ 待启动,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-SA-v1.0,部分,中东,阿拉伯语,"英语, 阿拉伯语",高,宗教法系,"伊斯兰文化, 宗教文化, 集体主义",⭐⭐⭐⭐,审查制,,⏸️待处理,⏸️待处理
🇷🇺 俄罗斯,🇷🇺,RU,俄语,"内容审查, 跨境限制",🔴 高风险,⏸️ 待启动,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-RU-v1.0,部分,欧洲,俄语,"俄语, 英语",高,国密系,"基督教文化, 集体主义",⭐⭐⭐⭐,审查制,,⏸️待处理,⏸️待处理
🇧🇷 巴西,🇧🇷,BR,葡萄牙语,GDPR,🟡 中风险,⏸️ 待启动,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-BR-v1.0,部分,南美,葡萄牙语,葡萄牙语,中,GDPR系,多元文化,⭐⭐⭐,混合制,,⏸️待处理,⏸️待处理
