Name,AI法规成熟度,CNSH结构化,DNA码,主要语言,代码,区域,国旗,完整度,官方语言,审核状态,常用语言,数据主权敏感度,数据制度,文化类型,更新时间,特殊制度,监管复杂度,监管类型,负责人,通心译状态,页面链接,风险等级
🇦🇪 阿联酋,,,#ZHUGEXIN⚡️2025-🇦🇪🕌⚖️-UAE-LAW-LANG-CULTURE-V2.0,阿拉伯语+英语,AE,,🇦🇪,✅ 完整,,✅ 已审核,,,,,2025年12月10日,"伊斯兰教法, 内容审查",,,,,https://www.notion.so/fa8ef4a98cab455fba68f2414fa9a0dc,🔴 高风险
🇨🇳 中国,,,#ZHUGEXIN⚡️2025-🇨🇳🐉⚖️-CN-LAW-LANG-CULTURE-V2.0,简体中文（普通话）,CN,,🇨🇳,✅ 完整,,✅ 已审核,,,,,2025年12月10日,"内容审查, 算法备案, 跨境限制",,,,,https://www.notion.so/5013f824947a48cf964c8cb3f38b8dc1,🔴 高风险
🇪🇺 欧盟（27国）,,,#ZHUGEXIN⚡️2025-🇪🇺⭐⚖️-EU-LAW-LANG-CULTURE-V2.0,24种官方语言（英/法/德为主）,EU,,🇪🇺,✅ 完整,,✅ 已审核,,,,,2025年12月10日,"AI法案, GDPR",,,,,https://www.notion.so/4faa092e955b43deb052a6d17307305f,🔴 高风险
🇺🇸 美国,,,#ZHUGEXIN⚡️2025-🇺🇸🦅⚖️-US-LAW-LANG-CULTURE-V2.0,英语（美式）,US,,🇺🇸,✅ 完整,,✅ 已审核,,,,,2025年12月10日,"CCPA, COPPA, HIPAA, Section230",,,,,https://www.notion.so/61645cb988b44335b1903c12524270dc,🟡 中风险
🇰🇷 韩国,成熟,,,,KR,亚洲,🇰🇷,⏸️ 待启动,韩语,⏸️ 待审核,英语,中,混合制,"儒家文化, 集体主义",2025年12月10日,,⭐⭐⭐⭐,审查制,,,,🟡 中风险
🇹🇭 泰国,部分,,,,TH,亚洲,🇹🇭,⏸️ 待启动,泰语,⏸️ 待审核,英语,中,混合制,宗教文化,2025年12月10日,,⭐⭐⭐,自由制,,,,🟡 中风险
🇲🇾 马来西亚,部分,,,,MY,亚洲,🇲🇾,⏸️ 待启动,马来语,⏸️ 待审核,"中文, 英语",中,宗教法系,"伊斯兰文化, 多元文化",2025年12月10日,,⭐⭐⭐,混合制,,,,🟡 中风险
🇹🇷 土耳其,部分,,,,TR,中东,🇹🇷,⏸️ 待启动,土耳其语,⏸️ 待审核,英语,高,宗教法系,伊斯兰文化,2025年12月10日,内容审查,⭐⭐⭐⭐,审查制,,,,🔴 高风险
🇨🇦 加拿大,成熟,,,,CA,北美,🇨🇦,⏸️ 待启动,"法语, 英语",⏸️ 待审核,,中,美式系,"个人主义, 多元文化",2025年12月10日,,⭐⭐⭐,自由制,,,,🟡 中风险
🇦🇺 澳大利亚,成熟,,,,AU,大洋洲,🇦🇺,⏸️ 待启动,英语,⏸️ 待审核,,中,美式系,"个人主义, 多元文化",2025年12月10日,,⭐⭐⭐,自由制,,,,🟡 中风险
🇬🇧 英国,成熟,,,,UK,欧洲,🇬🇧,⏸️ 待启动,英语,⏸️ 待审核,,高,GDPR系,"个人主义, 多元文化",2025年12月10日,,⭐⭐⭐⭐,自由制,,,,🟡 中风险
🇸🇬 新加坡,成熟,,,,SG,亚洲,🇸🇬,⏸️ 待启动,"中文, 英语, 马来语",⏸️ 待审核,"中文, 英语",中,混合制,多元文化,2025年12月10日,,⭐⭐⭐,自由制,,,,🟡 中风险
