scenario,P_laser,P_EUV,eta,CE,pulse_freq,F1,F3,F7,type,droplet_diameter,pulse_width,plasma_temp,F2,F4,F5,F6
baseline_2026,30.0,186.7115846047591,0.10372865811375506,0.06,50.0,0.65,0.9,0.85,baseline,,,,,,,
F3_priority,30.0,203.30816990295992,0.11294898327942218,0.06,50.0,0.65,0.98,0.85,baseline,,,,,,,
CE_optimized,30.0,207.8728966015528,0.08248924468315588,0.08,45.0,0.65,0.9,0.85,baseline,,,,,,,
combined_2030,40.0,352.08191305547894,0.11002559782983716,0.08,45.0,0.65,0.98,0.92,baseline,,,,,,,
sweep,50.0,332.9330082444506,0.11097766941481686,0.06,50.0,0.7,0.95,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,129.4443536054424,0.053935147335600994,0.06,72.0,0.7,0.95,0.9,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,143.07007503759428,0.0794833750208857,0.06,54.0,0.7,0.9,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,40.69355049078083,0.027129033660520555,0.06,50.0,0.6,0.85,0.85,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,195.44394179242786,0.07238664510830661,0.06,54.0,0.6,0.85,0.9,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,86.86397412996793,0.04825776340553774,0.06,72.0,0.7,0.9,0.85,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,216.3714097790777,0.07212380325969257,0.06,63.0,0.7,0.98,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,96.51552681107549,0.053619737117264164,0.06,54.0,0.7,0.85,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,157.64202712475662,0.05254734237491888,0.06,36.0,0.6,0.98,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,10.580323127603014,0.007053548751735343,0.06,36.0,0.65,0.85,0.85,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,168.288874272616,0.08013755917743619,0.06,50.0,0.7,0.98,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,30.49622548544399,0.010165408495147996,0.06,45.0,0.65,0.98,0.85,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,105.8654684708984,0.03920943276699941,0.06,63.0,0.65,0.85,0.9,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,78.41886553399883,0.05227924368933255,0.06,36.0,0.65,0.9,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,166.91508754385998,0.0794833750208857,0.06,63.0,0.6,0.9,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,40.0,159.32721886272776,0.06638634119280323,0.06,36.0,0.65,0.85,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,124.09139161423994,0.10340949301186661,0.06,54.0,0.6,0.85,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,56.63190470238105,0.047193253918650875,0.06,27.0,0.7,0.95,0.9,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,51.36680698628668,0.042805672488572234,0.06,45.0,0.6,0.95,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,71.53503751879713,0.04769002501253142,0.06,72.0,0.6,0.98,0.9,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,39.74168751044285,0.033118072925369044,0.06,50.0,0.6,0.98,0.9,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,459.7892457805401,0.1532630819268467,0.06,63.0,0.7,0.98,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,18.096661277076656,0.01005370070948703,0.06,45.0,0.7,0.85,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
